CustomerID,MonthlyRevenue,MonthlyMinutes,TotalRecurringCharge,OverageMinutes,RoamingCalls,PercChangeMinutes,PercChangeRevenues,DroppedCalls,ThreewayCalls,ReceivedCalls,OutboundCalls,MonthsInService,UniqueSubs,ActiveSubs,ServiceArea,CurrentEquipmentDays,AgeHH1,AgeHH2,ChildrenInHH,BuysViaMailOrder,RespondsToMailOffers,OptOutMailings,IncomeGroup,CreditRating,,Occupation,MaritalStatus
3002122,77.47,935,85,0,0,68,0.5,13.3,0,212.1,67,51,2,2,MIANDA305,299,52,0,No,No,No,No,9,3-Good,,Other,Yes
3002150,135.99,2241,80,53,0,345,13.8,13.7,2,415.2,117.3,53,5,4,MIAFTL954,72,44,44,Yes,Yes,Yes,No,9,1-Highest,,Professional,Yes
3002162,114.93,996,75,0,9.7,-231,-37,4,0,295.4,83,51,3,3,SANAUS512,53,0,0,No,No,No,No,7,3-Good,,Other,Unknown
3002174,104.5,623,75,0,0,833,-3.3,1,0,156.3,8,47,1,1,MIADEL561,48,32,32,No,No,No,No,9,1-Highest,,Other,Unknown
3002238,110.64,2331,80,343,0,564,-3,44.7,0.7,330.1,106,49,1,1,MIANDA305,66,50,46,Yes,No,No,No,7,1-Highest,,Professional,Yes
3002254,36.49,104,45,0,0,-4,-1.5,2.3,0,6.2,12,49,1,1,NNYROC716,455,44,38,No,Yes,Yes,No,9,4-Medium,,Crafts,Yes
3002298,63.38,885,66,27,0,-473,-11.8,15.7,0,292,36,51,3,1,MIANDA305,68,56,48,Yes,Yes,Yes,No,7,3-Good,,Other,Yes
3002314,31.26,164,30,0,0,38,0.7,3.7,0,10.1,8.7,47,2,2,PHIARD610,1425,52,48,No,Yes,Yes,Yes,9,1-Highest,,Other,Yes
3002318,51.37,449,50,7,0.5,86,-0.3,0,0,0,0,51,1,1,OMAGRN515,434,48,0,No,Yes,Yes,No,3,1-Highest,,Professional,No
3002342,111.14,1310,85,115,0,214,47.3,4.3,0.3,470.1,86.7,49,1,1,KCYKCK913,275,54,0,No,Yes,Yes,No,9,1-Highest,,Other,No
3002354,111.13,1544,58,290,0,93,-9.8,27.3,2,353.7,72,49,1,1,SANMCA210,118,56,48,Yes,Yes,Yes,No,4,4-Medium,,Other,Yes
3002386,80.99,1055,75,0,0,53,-3,5.7,0,274.5,71,47,2,2,STLSTL314,1133,46,50,No,Yes,Yes,No,7,1-Highest,,Self,Yes
3002394,29.99,165,30,0,0,49,0,1.7,0,44.9,0,49,1,1,MIANDA305,523,0,0,No,No,No,No,0,4-Medium,,Other,Unknown
3002406,40.08,213,32,4,0,-22,-1.4,1,0,25.8,18.3,49,2,2,DALDAL214,1485,48,46,Yes,Yes,Yes,No,8,1-Highest,,Other,Yes
3002434,53.76,860,60,12,0,17,-3.8,0,0,0,0,53,1,1,KCYWIC316,163,34,0,No,No,No,No,7,1-Highest,,Other,No
3002442,43.23,156,30,26,5.8,36,8.9,0,0,12.8,0,49,1,1,INDIND317,81,NA,NA,No,No,No,No,0,6-VeryLow,,Other,Unknown
3002478,138.97,695,50,73,2.1,197,84.1,8.3,0,165.1,27,49,1,1,MIANDA305,125,42,0,No,No,No,No,9,1-Highest,,Other,Yes
3002482,43.63,320,32,42,0,16,0.4,3.3,0,77.4,15,47,2,2,NOLKEN504,111,32,30,No,Yes,Yes,No,6,1-Highest,,Other,Yes
3002486,129.45,1229,75,0,0.4,126,-52.1,7,0,485.7,68.7,53,6,5,PHXPHX602,204,52,48,Yes,Yes,Yes,No,3,1-Highest,,Other,Yes
3002530,60.53,0,60,0,0,0,-0.5,0,0,0,0,47,3,3,DALDAL214,721,NA,NA,No,No,No,No,0,1-Highest,,Other,Unknown
3002550,122.72,1795,75,62,0,-193,-19.9,13,0,436.9,150.3,47,1,1,MIAFTL954,134,26,0,No,No,No,No,7,1-Highest,,Other,Unknown
3002566,253.4,2356,75,504,0,-436,177,7.3,0,386.1,72.7,47,1,1,BIRBIR205,323,38,40,Yes,Yes,Yes,No,6,3-Good,,Other,Yes
3002578,118.23,848,71,181,0,57,3.6,9.3,0,442.4,41.3,51,1,1,PHXPHX602,199,34,0,No,No,No,No,8,4-Medium,,Other,Yes
3002590,83.09,1712,45,258,0,-214,8.4,19,0,559.3,176.3,47,3,3,MIANDA305,109,0,0,No,No,No,No,0,1-Highest,,Other,Unknown
3002594,30.27,221,30,0,0,15,-0.3,5,0,33.2,10,47,1,1,SLCSLC801,578,26,0,No,Yes,Yes,No,6,1-Highest,,Professional,No
3002622,37.27,329,31,10,0,463,50.1,2.3,0,47.2,8,47,4,1,NYCQUE917,234,28,24,No,No,No,No,1,1-Highest,,Other,Unknown
3002626,94.43,728,85,0,0,25,-6.4,3.7,0,169.8,48.7,47,1,1,KCYKCK913,251,0,0,No,No,No,No,0,1-Highest,,Other,Unknown
3002690,37.94,124,30,19,0,-20,-7.9,0,0,25.1,1.7,53,1,1,INDIND317,1586,42,40,Yes,Yes,Yes,No,7,1-Highest,,Professional,Yes
3002726,30.5,44,30,0,0,-15,-0.5,1.3,0,0,2,53,1,1,DALDAL214,512,0,0,No,No,No,No,0,1-Highest,,Other,Unknown
3002746,65.62,322,50,2,0,-118,-13.6,12.7,0,43.6,8,49,2,1,DETTOL419,97,46,42,Yes,Yes,Yes,No,7,1-Highest,,Crafts,Yes
3002750,106.65,1094,50,454,0,-120,13.1,8.7,0,360.6,68.7,53,2,2,PHIJEN215,377,50,52,No,No,No,No,9,1-Highest,,Crafts,Yes
3002790,17.49,9,17,1,0,12,1.5,0.3,0,0,0,51,1,1,MINSTP612,1523,62,58,Yes,Yes,Yes,No,7,1-Highest,,Other,Yes
3002798,54.97,464,50,14,0,-124,-5,3,0.7,60.9,6.7,47,1,1,SEABLV425,500,38,36,No,Yes,Yes,No,9,1-Highest,,Other,Yes
3002810,194.57,1268,60,416,0,608,124.8,3.3,0.7,224.8,33.3,51,1,1,DALFTW817,335,34,34,No,No,No,No,3,4-Medium,,Other,Yes
3002822,208.59,1346,50,515,0.3,-374,-106.6,4.7,0.3,394.7,48.7,46,1,1,INDIND317,308,56,0,No,No,No,No,0,1-Highest,,Other,No
3002838,49.54,150,30,15,0,-6,-11.1,5.7,0.3,39.5,16.7,46,3,2,PHXPHX602,130,0,0,No,No,No,No,0,6-VeryLow,,Other,Unknown
3002842,59.99,63,60,0,0,-1,0,1,0,4.9,4.7,49,3,3,DALFTW817,1476,50,46,Yes,Yes,Yes,No,6,5-Low,,Other,Yes
3002898,48.62,713,45,0,3.6,125,-3.6,6.7,0,146.6,41.7,50,2,2,NNYBUF716,121,52,40,No,No,No,No,6,1-Highest,,Other,Unknown
3002902,137.29,1139,103,66,0.6,847,-30.4,6.7,0.3,316.9,32.3,46,3,2,MIAFTL954,93,30,32,No,Yes,Yes,No,6,3-Good,,Other,Yes
3002914,82.83,875,85,0,7.1,-319,-6.8,5,0,228.4,50.7,48,1,1,KCYKCK913,77,36,32,No,Yes,Yes,No,6,1-Highest,,Professional,Yes
3002954,58.27,390,55,0,0,-36,-2.7,12,0,163.8,3.7,50,1,1,MIAMIA305,417,54,0,No,Yes,Yes,No,6,1-Highest,,Other,Unknown
3002982,136.7,2082,100,24,10.6,-168,23.7,3.7,0,708.8,62.7,52,2,1,INDIND317,134,0,0,No,No,No,No,0,3-Good,,Other,Unknown
3003010,86.98,1076,75,0,0,-132,-11.1,11.3,2.3,322.7,34.3,48,2,1,SEASEA206,80,38,32,Yes,Yes,Yes,No,6,1-Highest,,Other,Yes
3003026,29.58,147,35,10,0,-91,6.4,1.3,0,8.6,3.3,50,2,2,NYCQUE917,365,58,50,Yes,Yes,Yes,No,6,1-Highest,,Other,Yes
3003034,50,62,50,0,0,-62,0,0,0,0,0.7,52,1,1,OMAOMA402,530,66,64,No,Yes,Yes,Yes,7,1-Highest,,Other,Yes
3003098,152.06,836,57,244,1.2,1134,238.9,21.3,0,105.1,33.7,48,1,1,SEAPOR503,100,44,46,No,Yes,Yes,No,5,1-Highest,,Other,Yes
3003110,81.25,727,67,28,1.1,147,13.6,5.7,0,103.9,35.7,48,3,2,MIAMIA305,41,50,50,No,No,No,No,9,1-Highest,,Professional,Yes
3003130,149.39,1302,75,1,23,-246,-35.1,6,0.7,490.7,35.7,50,1,1,SEASEA206,378,36,26,No,No,No,No,3,1-Highest,,Other,No
3003138,30.99,42,30,0,0,14,0,1.3,0,1.7,4.7,52,1,1,PHIARD610,727,0,0,No,No,No,No,3,4-Medium,,Other,No
3003142,77.11,457,32,102,0,-12,12.4,3.7,0,110.8,12,52,2,2,MIAHWD954,570,36,38,No,No,No,No,6,1-Highest,,Professional,Yes
3003198,35.27,113,38,16,1.1,21,-5.3,2.7,0,16.5,2,48,2,1,DENDEN303,328,46,46,Yes,Yes,Yes,No,5,1-Highest,,Professional,Yes
3003214,40.29,95,39,1,0,0,2.7,1.7,0,9,13.3,52,2,2,NYCMAN917,461,36,40,No,Yes,Yes,No,1,3-Good,,Other,No
3003230,24.9,13,25,0,0,14,0,0.3,0,0.7,2,50,1,1,KCYKCM816,1505,58,0,No,Yes,Yes,No,7,1-Highest,,Retired,No
3003250,43.21,183,25,49,0,55,14,0.3,0,58.5,12,52,2,2,MIAMIA305,416,34,0,No,No,No,No,3,4-Medium,,Other,No
3003266,311.63,1652,302,0,2.2,303,-4.7,16.7,0,466.8,130.7,46,3,3,KCYKCK913,514,32,30,No,Yes,Yes,No,8,1-Highest,,Other,Unknown
3003270,10,2,10,0,0,-2,0,0,0,0.5,0,50,3,1,DALDAL214,1503,68,66,No,Yes,Yes,No,4,1-Highest,,Other,No
3003282,107.42,732,70,30,3.3,-360,-23,10,0.3,165.4,55.7,50,1,1,MIADEL561,13,54,0,No,No,No,No,9,1-Highest,,Other,No
3003290,58.82,1927,85,10,0.1,217,-48.8,21,0,817.4,159.7,48,3,1,DENDEN303,400,46,46,No,Yes,Yes,No,8,1-Highest,,Other,Yes
3003294,139.91,932,133,0,0,-112,-60.7,18.3,1.3,222.5,119,50,4,4,MIAFTL954,296,54,50,Yes,Yes,Yes,No,9,1-Highest,,Professional,Unknown
3003310,75.57,444,40,86,0,-7,-33.6,1.3,0,141.1,18,50,1,1,INDIND317,461,42,0,No,Yes,Yes,No,4,5-Low,,Other,Unknown
3003338,138.82,1395,70,90,0,233,130.3,9.3,0,322.4,65.3,52,1,1,MIANDA305,157,28,0,No,No,No,No,7,3-Good,,Other,No
3003374,40.9,95,40,0,1.9,-48,-10.5,1.7,0,26.5,5,46,2,2,STLSTL314,132,50,24,Yes,Yes,Yes,No,6,1-Highest,,Retired,Unknown
3003382,135.18,628,40,47,51.4,-30,-33.7,2.7,0,197.2,27.7,52,1,1,DALFTW817,584,0,0,No,No,No,No,7,1-Highest,,Other,No
3003394,21.55,44,17,13,0,4,1.4,2,0,0.2,3.7,48,1,1,STLSTL314,1448,62,62,Yes,Yes,Yes,No,6,1-Highest,,Other,Yes
3003398,86.48,807,75,0,0.3,110,-5.2,13.7,0.3,221.7,56,48,1,1,NYCBRO917,174,54,46,Yes,Yes,Yes,No,2,4-Medium,,Other,Yes
3003410,51.12,356,50,1,0,244,3.4,3,0,70,9,52,1,1,SEABLV425,591,34,32,Yes,Yes,Yes,No,6,1-Highest,,Professional,No
3003430,17.16,4,17,0,0,1,-0.2,0,0,0,0.3,46,1,1,NNYALB518,1384,66,62,No,No,No,No,1,1-Highest,,Other,Yes
3003438,86.56,654,85,21,4.1,90,20,3.7,0,169.8,18.3,48,2,2,SANSAN210,335,0,0,No,No,No,No,0,3-Good,,Other,Unknown
3003454,61.44,475,50,28,0.4,-30,-10.4,1.3,0,30.7,21.3,48,1,1,OKCLRK501,68,38,0,No,Yes,Yes,No,9,2-High,,Other,No
3003542,83.97,695,85,30,0,-474,-9,15,0,85.3,81.7,49,3,3,PHIARD610,218,36,34,Yes,Yes,Yes,No,9,1-Highest,,Self,Yes
3003550,76.73,628,75,0,0,57,0.2,11.3,0,158.6,67.3,47,1,1,MIAWPB561,1194,36,0,No,No,No,No,5,1-Highest,,Other,No
3003574,54.17,329,60,3,0.4,-35,1.1,3.7,0,62,11.3,47,1,1,MIADEL561,139,34,38,No,No,No,No,8,1-Highest,,Other,Yes
3003578,37.26,134,45,0,0.3,-70,0.5,0.7,0,2.3,11.3,47,1,1,DALDAL214,685,0,0,No,No,No,No,0,1-Highest,,Other,Unknown
